Date,Open,High,Low,Close,Adj Close,Volume
2019-08-01,149.899994,152.300003,131.000000,145.100006,145.100006,22161829
2019-09-01,144.899994,159.800003,143.300003,146.750000,146.750000,25869931
2019-10-01,148.100006,149.100006,107.800003,113.550003,113.550003,48603097
2019-11-01,114.449997,123.400002,112.050003,119.800003,119.800003,27013936
2019-12-01,120.000000,121.550003,102.199997,107.500000,107.500000,31056482
2020-01-01,107.500000,143.050003,107.500000,133.199997,133.199997,42125713
2020-02-01,132.500000,145.600006,110.849998,114.949997,114.949997,35784644
2020-03-01,120.500000,123.699997,79.680000,104.650002,104.650002,60731556
2020-04-01,101.000000,140.899994,84.080002,90.400002,90.400002,67209301
2020-05-01,88.000000,94.559998,72.000000,94.559998,94.559998,62868245
2020-06-01,96.000000,104.500000,1.080200,5.730000,5.730000,337045998
2020-07-01,5.000000,5.543000,1.901200,1.976400,1.976400,90689523
2020-07-22,1.800000,2.020000,1.710000,1.817600,1.817600,3650760
